dropout,learning_rate,weight_decay,auc_roc,auc_pr,precision,recall,f1
0.1,1e-4,1e-4,0.8425780943684142,0.5517532215148043,0.40507877917905627,0.8430080609879775,0.5053429299351331
0.1,1e-4,1e-3,0.8425522362071014,0.5516028392478787,0.40535105375637237,0.8416708086474669,0.5054282604790826
0.1,1e-4,1e-2,0.842546920429136,0.5516478793622199,0.4052878935253309,0.8421580794162615,0.5054395030868323
0.1,5e-4,1e-4,0.8445683294002073,0.5649971368774045,0.40146969092480167,0.8520877819389016,0.49957465006858565
0.1,5e-4,1e-3,0.8446433495486002,0.5651399347485156,0.4013201749653021,0.8535100307111478,0.49962888277042317
0.1,5e-4,1e-2,0.8447479665197585,0.5651827322884162,0.40126957663493656,0.8547647756035607,0.4997045752226434
0.1,1e-3,1e-4,0.8455589110979086,0.57029520527729,0.40198192166478774,0.8563075277005017,0.5027224476703239
0.1,1e-3,1e-3,0.8455055949461039,0.5702279386283658,0.40126732687904193,0.8592980815733013,0.5043182218998591
0.1,1e-3,1e-2,0.8454971974444063,0.5699013192635191,0.40128927618319316,0.8581703797057415,0.5035393168130701
0.3,1e-4,1e-4,0.8428896181938078,0.5520112254791281,0.40487366255303264,0.8444521405245844,0.5059812740494147
0.3,1e-4,1e-3,0.8428666653270233,0.5517562137272636,0.4049821304909229,0.8436744959835838,0.5059722892709612
0.3,1e-4,1e-2,0.8428690687235064,0.5519605948625583,0.40487621795194434,0.8441020554881786,0.5059475494510173
0.3,5e-4,1e-4,0.8451165320697979,0.5686645102178629,0.40170104361405523,0.8594453678017551,0.5027875824996682
0.3,5e-4,1e-3,0.8449865710212595,0.5680952488107281,0.4017323140677913,0.8594517544725545,0.5029621785092204
0.3,5e-4,1e-2,0.8453088821334935,0.5685466121736988,0.4019453270469448,0.8584236579325683,0.5034084158019843
0.3,1e-3,1e-4,0.8466862927676634,0.5749778162331467,0.4022757186891521,0.8625103476962233,0.5113845567149631
0.3,1e-3,1e-3,0.8464630396312554,0.5736570286051152,0.4023197546598827,0.8587136237328057,0.5093658774731737
0.3,1e-3,1e-2,0.8466792818966972,0.5744292258933907,0.4042615518362517,0.8548443931003964,0.5086397371132434
0.5,1e-4,1e-4,0.8427643935680396,0.5519537823786104,0.40446196729682254,0.8448837429357269,0.5071673149882535
0.5,1e-4,1e-3,0.8427667259089137,0.5520307816287839,0.40423488013141057,0.8457483111218301,0.5070725316622784
0.5,1e-4,1e-2,0.8427667003002224,0.5520111989576486,0.40434058698718744,0.8451528296586501,0.5071250203243123
0.5,5e-4,1e-4,0.845287532367085,0.5700493137931997,0.4018034305792393,0.8570573076058887,0.5032599652372589
0.5,5e-4,1e-3,0.8450587157448856,0.5694967769818287,0.40210892009061067,0.8541325993269828,0.5031031515367883
0.5,5e-4,1e-2,0.8452377392407608,0.5698789415617935,0.40140964325115785,0.8586578595074396,0.503446168383378
0.5,1e-3,1e-4,0.8470570979127565,0.5749982453497391,0.400392358569267,0.8643066669911237,0.509736412800127
0.5,1e-3,1e-3,0.8466947504643275,0.5730494593756165,0.40213593127683517,0.8599311000275918,0.5111692529577648
0.5,1e-3,1e-2,0.8468887511878869,0.574661217567446,0.4003486639968468,0.8665551790675387,0.5108432078704727
