max_depth,learning_rate,n_estimators,auc_roc,auc_pr,precision,recall,f1
4,0.01,150,0.8904852586990425,0.5476561765388954,0.4853677514856785,0.7267929870965113,0.5421450962239449
4,0.01,200,0.8904852586990425,0.5476561765388954,0.4853677514856785,0.7267929870965113,0.5421450962239449
4,0.01,300,0.8904852586990425,0.5476561765388954,0.4853677514856785,0.7267929870965113,0.5421450962239449
4,0.05,150,0.8981971330431279,0.6164042944245625,0.3753344233869472,0.998475872537445,0.5455126164473041
4,0.05,200,0.9007541521105659,0.6221680737875428,0.3765460263227626,0.9967655267072549,0.5465202803899286
4,0.05,300,0.904599520842008,0.6296564622776494,0.3802146500142286,0.9916072136100669,0.5495996948362974
4,0.1,150,0.904533131732941,0.6296248661794505,0.38081501965501924,0.992013054658229,0.5502953429007034
4,0.1,200,0.9067987124653694,0.6334875994749807,0.3853696630889527,0.9892884121937562,0.5546094864020887
4,0.1,300,0.9091137235344339,0.6381890424136739,0.3909313970576217,0.9855205654220363,0.5597098189219932
6,0.01,150,0.8990879266064155,0.6030182735096983,0.43537040060043936,0.8707284547941413,0.5203029385533876
6,0.01,200,0.8995031817341226,0.606448686729454,0.435450271250398,0.8710733508069571,0.5204387601588695
6,0.01,300,0.900513287311788,0.6106959269992269,0.43575747401273024,0.8713689342640564,0.5208254076122971
6,0.05,150,0.9052358747661262,0.6299609906639729,0.38096223549863956,0.9950397472340466,0.5508707006186927
6,0.05,200,0.907291670536181,0.6334648862514837,0.3848634536416934,0.9931975675874489,0.5546229465345394
6,0.05,300,0.9100592967800941,0.6392067732888405,0.3917515300770529,0.98852754440365,0.5608951544678445
6,0.1,150,0.9116935281359888,0.6424763602897504,0.3981113557580331,0.981458486317245,0.566269609808747
6,0.1,200,0.9132304939085474,0.6467271098757645,0.40628221251359126,0.9739551204317232,0.5730817278642617
6,0.1,300,0.9138622373191523,0.6489748107697881,0.41146852788025173,0.9675618865591714,0.5769656315707246
8,0.01,150,0.9021495556347057,0.6127846269599203,0.35313938941221545,0.744897945148581,0.46833187910991275
8,0.01,200,0.9024381725743842,0.6143365870800941,0.35321577354442746,0.7449682644319763,0.46841944298070964
8,0.01,300,0.9036176594899455,0.6170897129230465,0.3537062664304674,0.7452658291024029,0.46897775314767254
8,0.05,150,0.9123493756426972,0.6435173969887065,0.3942884706541521,0.9873957574077925,0.563399549980621
8,0.05,200,0.9131125146935154,0.6459726175099655,0.4009065818925906,0.982271402841514,0.5691869703795899
8,0.05,300,0.914072901086084,0.6492047568054754,0.4072988553838058,0.974310970891947,0.5740257227852773
8,0.1,150,0.9144658660843997,0.6502303494440074,0.41342481266511916,0.965386838857438,0.5784976405451757
8,0.1,200,0.9146223490664388,0.6507979948701272,0.41598008677407716,0.9609053886140312,0.5801355943631754
8,0.1,300,0.9146223490664388,0.6507979948701272,0.41598008677407716,0.9609053886140312,0.5801355943631754
