max_depth,learning_rate,n_estimators,auc_roc,auc_pr,precision,recall,f1
6,0.05,200,0.8504316974060132,0.49474099194821464,0.3625954424520461,0.8275587325345494,0.5025052537497077
6,0.1,200,0.8504316974060132,0.49474099194821464,0.3625954424520461,0.8275587325345494,0.5025052537497077
6,0.15,200,0.8504316974060132,0.49474099194821464,0.3625954424520461,0.8275587325345494,0.5025052537497077
6,0.2,200,0.8504316974060132,0.49474099194821464,0.3625954424520461,0.8275587325345494,0.5025052537497077
6,0.05,200,0.907291670536181,0.6334648862514837,0.3848634536416934,0.9931975675874489,0.5546229465345394
6,0.1,200,0.9132304939085474,0.6467271098757645,0.40628221251359126,0.9739551204317232,0.5730817278642617
6,0.15,200,0.9130488738023808,0.6467146868696437,0.40797849337326353,0.9717390579590077,0.5740895574565867
6,0.2,200,0.9131571449967276,0.6465353010272668,0.40953356749821085,0.9704415380448815,0.5755042193773908
8,0.05,200,0.9131125146935154,0.6459726175099655,0.4009065818925906,0.982271402841514,0.5691869703795899
8,0.1,200,0.9146223490664388,0.6507979948701272,0.41598008677407716,0.9609053886140312,0.5801355943631754
8,0.15,200,0.9141137267783659,0.6491800952162329,0.4116279090819843,0.969417524158233,0.5772818392209371
8,0.2,200,0.9135237933870579,0.647583096106833,0.40928629550026013,0.9708641021353746,0.5750976700309347
10,0.05,200,0.9155641370264828,0.6520307556165575,0.4180535633619187,0.9620040634905925,0.5826498249231203
10,0.1,200,0.9155087222678843,0.6516968792788346,0.35943454703026645,0.7888425829342486,0.4936184508679074
10,0.15,200,0.9153958520464286,0.6509761384774753,0.4215869371433911,0.9564872281600492,0.5849491762449498
10,0.2,200,0.9145421155513482,0.6492662175503044,0.43084525444537186,0.9188476844067259,0.5845375501403987
12,0.05,200,0.9154243528780083,0.6500498544913481,0.36727463022660056,0.7713506213474254,0.4974363565326708
12,0.1,200,0.9154467978700774,0.6509138473694718,0.484389515355081,0.8239620622660627,0.5615074518119465
12,0.15,200,0.9155610931115948,0.6498343451255623,0.4814137013849581,0.8327606435237244,0.5647570638044552
12,0.2,200,0.9157351751160743,0.6517103971445881,0.46226829278007886,0.8705030600886775,0.5948162533700454
