C,auc_roc,auc_pr,precision,recall,f1
0.01,0.8555075754301191,0.50123902197765,0.3605816500511244,0.8443304553145964,0.5038394159778595
0.1,0.8513281956912491,0.4959647522205343,0.36189534859640976,0.8301195272792501,0.5024055442936917
1.0,0.8504316974060132,0.49474099194821464,0.3625954424520461,0.8275587325345494,0.5025052537497077
10.0,0.8501199475776252,0.49424843347494896,0.36262779750082996,0.8271563026211125,0.5024212007935047
100.0,0.8501102641810537,0.49418953325272547,0.36275859908543007,0.8267633883239914,0.5024595521311034
